Source Text,Original Target,Translation,Baseline,Metrics,Baseline Metrics
by the way Anu is Indian she's gonna know there's no sexual move called the screeching lotus,Og Anu vet nok at det ikke er noe som heter skrikende lotus.,Anu er indisk.,forresten Anu er indisk hun kommer til å vite at det ikke er noen seksuelle trekk kalt forkrøftende lotus,"{'bleu': 1.73, 'r1': 0.25, 'r2': 0.0, 'rl': 0.25, 'chrF': 7.84, 'chrf++': 9.01, 'bert_f1': 0.72, 'length': 14.0, 'len_ratio': 0.23}","{'bleu': 14.03, 'r1': 0.37, 'r2': 0.2, 'rl': 0.37, 'chrF': 43.83, 'chrf++': 40.67, 'bert_f1': 0.77, 'length': 105.0, 'len_ratio': 1.75}"
hey have you checked the dates on these? they're all expired,Disse har gått ut på dato.,Har du sjekket datoene?,Har du sjekket datoene?,"{'bleu': 0.0, 'r1': 0.18, 'r2': 0.0, 'rl': 0.18, 'chrF': 14.09, 'chrf++': 10.57, 'bert_f1': 0.64, 'length': 23.0, 'len_ratio': 0.88}","{'bleu': 0.0, 'r1': 0.18, 'r2': 0.0, 'rl': 0.18, 'chrF': 14.09, 'chrf++': 10.57, 'bert_f1': 0.64, 'length': 23.0, 'len_ratio': 0.88}"
oh father in-law-son in-law-bonding,Vi knytter bånd.,Ja.,oh svigerfar-søn i-svig-bonding,"{'bleu': 0.0, 'r1': 0.0, 'r2': 0.0, 'rl': 0.0, 'chrF': 2.82, 'chrf++': 7.33, 'bert_f1': 0.64, 'length': 3.0, 'len_ratio': 0.19}","{'bleu': 0.0, 'r1': 0.0, 'r2': 0.0, 'rl': 0.0, 'chrF': 8.95, 'chrf++': 6.71, 'bert_f1': 0.62, 'length': 31.0, 'len_ratio': 1.94}"
Raj it's gonna be okay look sex isn't the most important thing in a relationship,Det ordner seg. Sex er ikke alt.,Det er ikke viktig å se sex.,Raj det kommer til å bli ok se sex er ikke det viktigste i et forhold,"{'bleu': 11.59, 'r1': 0.62, 'r2': 0.18, 'rl': 0.46, 'chrF': 25.02, 'chrf++': 26.05, 'bert_f1': 0.76, 'length': 28.0, 'len_ratio': 0.88}","{'bleu': 4.89, 'r1': 0.36, 'r2': 0.2, 'rl': 0.36, 'chrF': 27.66, 'chrf++': 24.5, 'bert_f1': 0.71, 'length': 69.0, 'len_ratio': 2.16}"
stop it you're acting weird and it's freaking me out,Slutt! Du gjør meg ille til mote!,Ikke vær redd.,stopp det du oppfører deg rart og det er skremt meg,"{'bleu': 0.0, 'r1': 0.17, 'r2': 0.0, 'rl': 0.17, 'chrF': 2.08, 'chrf++': 1.56, 'bert_f1': 0.69, 'length': 14.0, 'len_ratio': 0.42}","{'bleu': 3.75, 'r1': 0.2, 'r2': 0.0, 'rl': 0.2, 'chrF': 11.88, 'chrf++': 10.25, 'bert_f1': 0.69, 'length': 51.0, 'len_ratio': 1.55}"
yeah don't even get me started on unsolved mysteries,Og ikke snakk om uløselige mysterier,Ja.,ja ikke engang få meg i gang på uløst mysterier,"{'bleu': 0.0, 'r1': 0.0, 'r2': 0.0, 'rl': 0.0, 'chrF': 1.31, 'chrf++': 0.79, 'bert_f1': 0.62, 'length': 3.0, 'len_ratio': 0.08}","{'bleu': 4.99, 'r1': 0.33, 'r2': 0.0, 'rl': 0.33, 'chrF': 37.29, 'chrf++': 31.69, 'bert_f1': 0.79, 'length': 47.0, 'len_ratio': 1.31}"
okay you wanted the truth here it is,"Greit, her er sannheten.",Ok.,OK du ønsket sannheten her det er,"{'bleu': 0.0, 'r1': 0.0, 'r2': 0.0, 'rl': 0.0, 'chrF': 1.92, 'chrf++': 5.03, 'bert_f1': 0.62, 'length': 3.0, 'len_ratio': 0.12}","{'bleu': 8.64, 'r1': 0.55, 'r2': 0.0, 'rl': 0.36, 'chrF': 40.93, 'chrf++': 36.76, 'bert_f1': 0.7, 'length': 33.0, 'len_ratio': 1.38}"
oh Anu for most of my life I got so nervous around women that I couldn't talk to them without alcohol,Størsteparten av livet har jeg ikke greid å prate med damer uten alkohol,Jeg var så nervøs for kvinner at jeg ikke kunne snakke med dem.,Jeg ble så nervøs rundt kvinner at jeg ikke kunne snakke med dem uten alkohol.,"{'bleu': 6.29, 'r1': 0.22, 'r2': 0.08, 'rl': 0.22, 'chrF': 22.17, 'chrf++': 20.52, 'bert_f1': 0.7, 'length': 63.0, 'len_ratio': 0.88}","{'bleu': 7.31, 'r1': 0.34, 'r2': 0.15, 'rl': 0.34, 'chrF': 34.61, 'chrf++': 32.56, 'bert_f1': 0.72, 'length': 78.0, 'len_ratio': 1.08}"
so you've been drunk every time we've seen each other?,Har du vært full når vi har møttes?,Har du vært full?,Har du vært full hver gang vi har sett hverandre?,"{'bleu': 31.77, 'r1': 0.62, 'r2': 0.57, 'rl': 0.62, 'chrF': 46.64, 'chrf++': 47.84, 'bert_f1': 0.89, 'length': 17.0, 'len_ratio': 0.49}","{'bleu': 29.0, 'r1': 0.64, 'r2': 0.5, 'rl': 0.64, 'chrF': 50.43, 'chrf++': 53.14, 'bert_f1': 0.92, 'length': 49.0, 'len_ratio': 1.4}"
no no it hasn't happened in a long time and I really thought I was over it but I guess I don't know I guess I wanted so much for tonight to go well that I stressed myself out it came back,"Nei, det har ikke skjedd på lenge. Jeg trodde jeg hadde kommet over det. Jeg ville at dette skulle gå bra, så jeg gjorde meg selv stresset. Det kom tilbake.","Nei, det har ikke hendt lenge. Jeg trodde jeg var ferdig med det.",Nei nei det har ikke skjedd i lang tid og jeg virkelig trodde jeg var over det men jeg antar jeg ikke vet jeg antar jeg ønsket så mye for i kveld for å gå bra at jeg stresset meg ut det kom tilbake,"{'bleu': 14.14, 'r1': 0.42, 'r2': 0.29, 'rl': 0.42, 'chrF': 29.8, 'chrf++': 30.67, 'bert_f1': 0.85, 'length': 65.0, 'len_ratio': 0.42}","{'bleu': 9.38, 'r1': 0.58, 'r2': 0.25, 'rl': 0.49, 'chrF': 44.25, 'chrf++': 41.57, 'bert_f1': 0.77, 'length': 197.0, 'len_ratio': 1.26}"
so the doctor prescribed Nizoral and it blocked enzyme action and the fungus cleared right up,"Legemiddelet blokkerte enzymene, og da forsvant soppen.",Og soppen ble renset.,så forskrevet legen Nizoral og det blokkerte enzymvirkningen og soppen renset opp,"{'bleu': 5.71, 'r1': 0.36, 'r2': 0.0, 'rl': 0.36, 'chrF': 14.8, 'chrf++': 14.19, 'bert_f1': 0.76, 'length': 21.0, 'len_ratio': 0.38}","{'bleu': 4.46, 'r1': 0.32, 'r2': 0.0, 'rl': 0.32, 'chrF': 44.43, 'chrf++': 37.24, 'bert_f1': 0.72, 'length': 81.0, 'len_ratio': 1.47}"
guys focus my mom thinks that Sheldon is the reason I don't spend a lot of time with her,Moren min tror at Sheldon er grunnen til at vi ikke sees så ofte.,Jeg har ikke mye tid med henne.,gutter fokusere min mor tror at Sheldon er grunnen til at jeg ikke bruker mye tid med henne,"{'bleu': 2.74, 'r1': 0.1, 'r2': 0.0, 'rl': 0.1, 'chrF': 11.95, 'chrf++': 10.8, 'bert_f1': 0.73, 'length': 31.0, 'len_ratio': 0.48}","{'bleu': 34.82, 'r1': 0.56, 'r2': 0.4, 'rl': 0.56, 'chrF': 55.56, 'chrf++': 54.07, 'bert_f1': 0.81, 'length': 91.0, 'len_ratio': 1.4}"
and it's easier to say I can't spend time with her because of Sheldon then to admit that I just I don't want to,Det er lettere enn å erkjenne at jeg ikke vil omgås henne.,Jeg kan ikke være sammen med Sheldon.,Og det er lettere å si at jeg ikke kan bruke tid med henne på grunn av Sheldon da å innrømme at jeg bare ikke vil,"{'bleu': 3.52, 'r1': 0.2, 'r2': 0.0, 'rl': 0.2, 'chrF': 14.3, 'chrf++': 12.81, 'bert_f1': 0.77, 'length': 37.0, 'len_ratio': 0.64}","{'bleu': 8.17, 'r1': 0.43, 'r2': 0.29, 'rl': 0.38, 'chrF': 46.26, 'chrf++': 44.53, 'bert_f1': 0.81, 'length': 113.0, 'len_ratio': 1.95}"
Amy said she couldn't come to Thanksgiving dinner because you always have to spend it with your mother,Dere kom ikke på thanksgiving fordi du alltid må være med moren din.,Amy sa hun ikke kunne komme.,Amy sa hun ikke kunne komme på Thanksgiving middag fordi du alltid må bruke den sammen med moren din,"{'bleu': 2.87, 'r1': 0.1, 'r2': 0.0, 'rl': 0.1, 'chrF': 11.28, 'chrf++': 10.45, 'bert_f1': 0.72, 'length': 28.0, 'len_ratio': 0.41}","{'bleu': 19.52, 'r1': 0.61, 'r2': 0.39, 'rl': 0.61, 'chrF': 59.49, 'chrf++': 56.59, 'bert_f1': 0.79, 'length': 100.0, 'len_ratio': 1.47}"
look at that we're both angry at Amy you know maybe that's something we can bond over. let me ask you this how do you feel about Howard?,Vi er sinte på Amy begge to. Kanskje det vil føre oss nærmere. Hva synes du om Howard?,Vi er begge sinte på Amy.,Se på at vi begge er sinte på Amy du vet kanskje det er noe vi kan binde over. la meg spørre deg hvordan føler du for Howard?,"{'bleu': 4.53, 'r1': 0.46, 'r2': 0.25, 'rl': 0.38, 'chrF': 20.91, 'chrf++': 22.68, 'bert_f1': 0.79, 'length': 25.0, 'len_ratio': 0.29}","{'bleu': 10.5, 'r1': 0.44, 'r2': 0.17, 'rl': 0.4, 'chrF': 39.89, 'chrf++': 37.69, 'bert_f1': 0.78, 'length': 125.0, 'len_ratio': 1.45}"
why would Amy feel the need to lie to me?,Hvorfor løy Amy til meg?,Hvorfor lyve?,Hvorfor skulle Amy føle behovet for å lyve for meg?,"{'bleu': 0.0, 'r1': 0.25, 'r2': 0.0, 'rl': 0.25, 'chrF': 36.56, 'chrf++': 32.06, 'bert_f1': 0.81, 'length': 13.0, 'len_ratio': 0.54}","{'bleu': 8.91, 'r1': 0.37, 'r2': 0.0, 'rl': 0.37, 'chrF': 34.85, 'chrf++': 35.4, 'bert_f1': 0.8, 'length': 51.0, 'len_ratio': 2.12}"
really? Even after she threw you under the bus you're still gonna defend her,Forsvarer du henne selv om hun skyldte på deg?,Du skal forsvare henne.,Selv etter hun kastet deg under bussen du fortsatt skal forsvare henne,"{'bleu': 3.93, 'r1': 0.31, 'r2': 0.0, 'rl': 0.31, 'chrF': 23.87, 'chrf++': 19.29, 'bert_f1': 0.77, 'length': 23.0, 'len_ratio': 0.5}","{'bleu': 4.79, 'r1': 0.48, 'r2': 0.0, 'rl': 0.29, 'chrF': 30.89, 'chrf++': 28.03, 'bert_f1': 0.77, 'length': 70.0, 'len_ratio': 1.52}"
am I safe to assume you talking to me now is a good sign for our marriage?,Er det et godt tegn for ekteskapet vårt at du prater med meg nå?,Er det et godt tegn?,Er jeg sikker på at du snakker med meg nå er et godt tegn for vårt ekteskap?,"{'bleu': 17.74, 'r1': 0.5, 'r2': 0.44, 'rl': 0.5, 'chrF': 30.4, 'chrf++': 32.62, 'bert_f1': 0.79, 'length': 20.0, 'len_ratio': 0.31}","{'bleu': 23.29, 'r1': 0.73, 'r2': 0.45, 'rl': 0.42, 'chrF': 56.36, 'chrf++': 57.02, 'bert_f1': 0.86, 'length': 76.0, 'len_ratio': 1.19}"
thank you Amy it's so nice of you to have us over for dinner,Så hyggelig å få komme på middag.,"Takk, Amy.",Tusen takk Amy det er så fint av deg å ha oss over til middag,"{'bleu': 5.88, 'r1': 0.0, 'r2': 0.0, 'rl': 0.0, 'chrF': 3.56, 'chrf++': 4.42, 'bert_f1': 0.59, 'length': 10.0, 'len_ratio': 0.3}","{'bleu': 3.13, 'r1': 0.2, 'r2': 0.0, 'rl': 0.2, 'chrF': 20.62, 'chrf++': 18.13, 'bert_f1': 0.71, 'length': 61.0, 'len_ratio': 1.85}"
you realise we still have a lot of work to do before we can publish,Det er fremdeles mye som gjenstår.,Vi har mye å gjøre.,innser du at vi fremdeles har mye arbeid å gjøre før vi kan publisere,"{'bleu': 8.17, 'r1': 0.17, 'r2': 0.0, 'rl': 0.17, 'chrF': 9.7, 'chrf++': 11.02, 'bert_f1': 0.75, 'length': 19.0, 'len_ratio': 0.56}","{'bleu': 3.38, 'r1': 0.27, 'r2': 0.0, 'rl': 0.27, 'chrF': 30.43, 'chrf++': 25.8, 'bert_f1': 0.7, 'length': 69.0, 'len_ratio': 2.03}"
absolutely not if the king of Sweden hands me a medal I intend to smear it with Purell and kiss it,"Nei, får jeg en medalje, kliner jeg på antibac og kysser den.",Nei.,absolutt ikke hvis Sveriges konge gir meg en medalje jeg har til hensikt å smøre den med Purell og kysse den,"{'bleu': 0.0, 'r1': 0.14, 'r2': 0.0, 'rl': 0.14, 'chrF': 4.36, 'chrf++': 5.61, 'bert_f1': 0.6, 'length': 4.0, 'len_ratio': 0.07}","{'bleu': 4.57, 'r1': 0.29, 'r2': 0.06, 'rl': 0.29, 'chrF': 32.45, 'chrf++': 29.06, 'bert_f1': 0.73, 'length': 108.0, 'len_ratio': 1.77}"
yes but he's always struck me as the guy in the plane crash who doesn't wait until you're all the way dead to eat you,Men han er typen til å spise en opp før man er død etter en flyulykke.,"Ja, men han har alltid slått meg.","Ja, men han har alltid slått meg som fyren i flyet krasj som ikke venter til du er helt død for å spise deg","{'bleu': 2.33, 'r1': 0.16, 'r2': 0.09, 'rl': 0.16, 'chrF': 11.3, 'chrf++': 10.1, 'bert_f1': 0.73, 'length': 33.0, 'len_ratio': 0.47}","{'bleu': 3.96, 'r1': 0.33, 'r2': 0.1, 'rl': 0.29, 'chrF': 27.56, 'chrf++': 25.42, 'bert_f1': 0.68, 'length': 107.0, 'len_ratio': 1.53}"
you know we're almost finished with our paper we just need help tracking down the citations,"Vi er neste ferdig med artikkelen, men noen må sjekke sitatene.",Vi er nesten ferdige med avisen.,Du vet vi er nesten ferdig med vårt papir vi trenger bare hjelp med å spore opp referanser,"{'bleu': 6.63, 'r1': 0.35, 'r2': 0.13, 'rl': 0.35, 'chrF': 28.9, 'chrf++': 27.08, 'bert_f1': 0.79, 'length': 32.0, 'len_ratio': 0.51}","{'bleu': 4.75, 'r1': 0.28, 'r2': 0.15, 'rl': 0.28, 'chrF': 33.34, 'chrf++': 28.64, 'bert_f1': 0.72, 'length': 90.0, 'len_ratio': 1.43}"
I am not gonna spend weeks in a library looking up old papers can't we hire a grad-student to do it?,Kan vi ikke betale en doktorand for å sjekke sitatene?,Kan vi ikke ansette en student?,Jeg skal ikke tilbringe uker i et bibliotek som leter opp gamle papirer kan vi ikke ansette en student for å gjøre det?,"{'bleu': 15.69, 'r1': 0.53, 'r2': 0.31, 'rl': 0.53, 'chrF': 26.02, 'chrf++': 28.37, 'bert_f1': 0.83, 'length': 31.0, 'len_ratio': 0.57}","{'bleu': 4.92, 'r1': 0.31, 'r2': 0.13, 'rl': 0.31, 'chrF': 26.99, 'chrf++': 27.74, 'bert_f1': 0.77, 'length': 119.0, 'len_ratio': 2.2}"
well what if we ask one of our friends to help us out how about Leonard?,Vi kan be Leonard om hjelp.,Hva med Leonard?,"Hva om vi spør en av vennene våre om å hjelpe oss, hva med Leonard?","{'bleu': 7.55, 'r1': 0.22, 'r2': 0.0, 'rl': 0.22, 'chrF': 26.91, 'chrf++': 22.13, 'bert_f1': 0.71, 'length': 16.0, 'len_ratio': 0.59}","{'bleu': 2.72, 'r1': 0.27, 'r2': 0.0, 'rl': 0.18, 'chrF': 30.64, 'chrf++': 25.76, 'bert_f1': 0.69, 'length': 67.0, 'len_ratio': 2.48}"
Fortnite a bunch of people parachute onto an island and fight it out to be the last man standing,Fortnite. Masse folk kjemper til bare én er igjen på en øy.,Slåss mot en øy.,Fortnite en haug med mennesker fallskjerm på en øy og kjempe det ut til å være den siste mannen stående,"{'bleu': 6.57, 'r1': 0.24, 'r2': 0.13, 'rl': 0.24, 'chrF': 9.99, 'chrf++': 12.82, 'bert_f1': 0.77, 'length': 16.0, 'len_ratio': 0.27}","{'bleu': 8.1, 'r1': 0.3, 'r2': 0.13, 'rl': 0.24, 'chrF': 33.15, 'chrf++': 30.78, 'bert_f1': 0.74, 'length': 103.0, 'len_ratio': 1.75}"
more like Bachelor in Paradise but not as cut throat,"Nei, som Ungkaren, bare snillere.",Men ikke som halskutt,"mer som bachelor i Paradise, men ikke som kuttet hals","{'bleu': 5.88, 'r1': 0.22, 'r2': 0.0, 'rl': 0.22, 'chrF': 10.74, 'chrf++': 9.8, 'bert_f1': 0.67, 'length': 21.0, 'len_ratio': 0.64}","{'bleu': 4.46, 'r1': 0.13, 'r2': 0.0, 'rl': 0.13, 'chrF': 16.32, 'chrf++': 15.15, 'bert_f1': 0.66, 'length': 53.0, 'len_ratio': 1.61}"
and depending on what you wanna build you can use LB RB LT or RT,"Og avhengig av hva man vil bygge, kan man bruke ulike taster.",Du kan bruke LB RB LT.,Vi kan bruke RB eller RT.,"{'bleu': 3.18, 'r1': 0.22, 'r2': 0.0, 'rl': 0.22, 'chrF': 12.8, 'chrf++': 12.61, 'bert_f1': 0.69, 'length': 22.0, 'len_ratio': 0.36}","{'bleu': 3.18, 'r1': 0.22, 'r2': 0.0, 'rl': 0.22, 'chrF': 15.29, 'chrf++': 14.46, 'bert_f1': 0.74, 'length': 25.0, 'len_ratio': 0.41}"
in a minute I wanna show Howard I can play this game,Jeg vil vise at jeg klarer det.,Ja.,På et øyeblikk vil jeg vise Howard jeg kan spille dette spillet,"{'bleu': 0.0, 'r1': 0.0, 'r2': 0.0, 'rl': 0.0, 'chrF': 4.85, 'chrf++': 5.88, 'bert_f1': 0.6, 'length': 3.0, 'len_ratio': 0.1}","{'bleu': 4.46, 'r1': 0.42, 'r2': 0.0, 'rl': 0.32, 'chrF': 26.52, 'chrf++': 24.25, 'bert_f1': 0.74, 'length': 63.0, 'len_ratio': 2.03}"
why not? You don't think other women find him attractive?,Kan ikke andre kvinner like han?,Hvorfor ikke?,Tror du ikke andre kvinner synes han er attraktiv?,"{'bleu': 0.0, 'r1': 0.25, 'r2': 0.0, 'rl': 0.25, 'chrF': 10.04, 'chrf++': 11.56, 'bert_f1': 0.74, 'length': 13.0, 'len_ratio': 0.41}","{'bleu': 17.75, 'r1': 0.53, 'r2': 0.31, 'rl': 0.53, 'chrF': 55.65, 'chrf++': 53.77, 'bert_f1': 0.82, 'length': 50.0, 'len_ratio': 1.56}"
you know what sure the three of us in the library looking up old papers that actually could be kinda fun,Ja vel. Det blir gøy å lete gjennom gamle artikler med dere to.,Vi tre på biblioteket ser etter gamle papirer.,vet du hva som er sikkert at vi tre i biblioteket ser opp gamle papirer som faktisk kan være litt moro,"{'bleu': 2.91, 'r1': 0.1, 'r2': 0.0, 'rl': 0.1, 'chrF': 18.46, 'chrf++': 15.67, 'bert_f1': 0.73, 'length': 46.0, 'len_ratio': 0.73}","{'bleu': 1.82, 'r1': 0.06, 'r2': 0.0, 'rl': 0.06, 'chrF': 18.85, 'chrf++': 14.91, 'bert_f1': 0.68, 'length': 102.0, 'len_ratio': 1.62}"
I don't know if you'd like it it's kinda for gamers,Det er mest for gamers.,Jeg vet ikke.,Jeg vet ikke om du vil ha det for spillere,"{'bleu': 9.69, 'r1': 0.0, 'r2': 0.0, 'rl': 0.0, 'chrF': 6.76, 'chrf++': 7.31, 'bert_f1': 0.71, 'length': 13.0, 'len_ratio': 0.57}","{'bleu': 4.2, 'r1': 0.27, 'r2': 0.0, 'rl': 0.27, 'chrF': 18.08, 'chrf++': 15.4, 'bert_f1': 0.71, 'length': 42.0, 'len_ratio': 1.83}"
okay this citation is correct how're you doing?,Dette stemmer. Hvordan går det?,Hvordan går det?,OK denne henvisningen er riktig hvordan du gjør?,"{'bleu': 47.24, 'r1': 0.8, 'r2': 0.75, 'rl': 0.8, 'chrF': 52.25, 'chrf++': 53.97, 'bert_f1': 0.91, 'length': 16.0, 'len_ratio': 0.52}","{'bleu': 4.77, 'r1': 0.27, 'r2': 0.0, 'rl': 0.27, 'chrF': 20.93, 'chrf++': 17.39, 'bert_f1': 0.72, 'length': 48.0, 'len_ratio': 1.55}"
no it actually makes it more exciting we have to go through all of this before I run out of this,"Nei, dette gjør det mer spennende. Vi må blir ferdig før denne er tom.",Nei.,Nei det faktisk gjør det mer spennende vi må gå gjennom alt dette før jeg går tom for dette,"{'bleu': 0.0, 'r1': 0.12, 'r2': 0.0, 'rl': 0.12, 'chrF': 3.82, 'chrf++': 4.94, 'bert_f1': 0.6, 'length': 4.0, 'len_ratio': 0.06}","{'bleu': 15.52, 'r1': 0.63, 'r2': 0.39, 'rl': 0.58, 'chrF': 46.22, 'chrf++': 43.44, 'bert_f1': 0.79, 'length': 91.0, 'len_ratio': 1.3}"
really video games? Is this some sort of freaky Friday thing where you're actually Howard?,"Spiller du? Er det som i Freaky Friday, og du egentlig er Howard?",Er dette en frekke fredagssak?,Er dette en slags freakday-sak hvor du faktisk er Howard?,"{'bleu': 1.82, 'r1': 0.11, 'r2': 0.0, 'rl': 0.11, 'chrF': 12.44, 'chrf++': 11.13, 'bert_f1': 0.69, 'length': 30.0, 'len_ratio': 0.46}","{'bleu': 10.06, 'r1': 0.33, 'r2': 0.09, 'rl': 0.33, 'chrF': 28.34, 'chrf++': 27.26, 'bert_f1': 0.74, 'length': 57.0, 'len_ratio': 0.88}"
