Source Text,Original Target,Translation,Baseline,Metrics,Baseline Metrics
hey have you checked the dates on these? they're all expired,Disse har gått ut på dato.,Har du sjekket datoene på disse?,Har du sjekket datoene på disse?,"{'bleu': 6.57, 'r1': 0.46, 'r2': 0.0, 'rl': 0.31, 'chrF': 23.45, 'chrf++': 19.39, 'meteor': 0.21, 'bert_f1': 0.67, 'length': 32.0, 'len_ratio': 1.23}","{'bleu': 6.57, 'r1': 0.46, 'r2': 0.0, 'rl': 0.31, 'chrF': 23.45, 'chrf++': 19.39, 'meteor': 0.21, 'bert_f1': 0.67, 'length': 32.0, 'len_ratio': 1.23}"
oh father in-law-son in-law-bonding,Vi knytter bånd.,"Å, svigersønn i svigerbonding",oh svigerfar-søn i-svig-bonding,"{'bleu': 0.0, 'r1': 0.0, 'r2': 0.0, 'rl': 0.0, 'chrF': 11.52, 'chrf++': 8.64, 'meteor': 0.0, 'bert_f1': 0.66, 'length': 29.0, 'len_ratio': 1.81}","{'bleu': 0.0, 'r1': 0.0, 'r2': 0.0, 'rl': 0.0, 'chrF': 8.95, 'chrf++': 6.71, 'meteor': 0.0, 'bert_f1': 0.62, 'length': 31.0, 'len_ratio': 1.94}"
Raj it's gonna be okay look sex isn't the most important thing in a relationship,Det ordner seg. Sex er ikke alt.,Det blir greit å se sex er ikke det viktigste i et forhold.,Raj det kommer til å bli ok se sex er ikke det viktigste i et forhold,"{'bleu': 6.75, 'r1': 0.42, 'r2': 0.24, 'rl': 0.42, 'chrF': 30.16, 'chrf++': 29.04, 'meteor': 0.47, 'bert_f1': 0.75, 'length': 59.0, 'len_ratio': 1.84}","{'bleu': 4.89, 'r1': 0.36, 'r2': 0.2, 'rl': 0.36, 'chrF': 27.66, 'chrf++': 24.5, 'meteor': 0.39, 'bert_f1': 0.71, 'length': 69.0, 'len_ratio': 2.16}"
stop it you're acting weird and it's freaking me out,Slutt! Du gjør meg ille til mote!,"Slutt å oppføre deg rart, og det skremmer meg",stopp det du oppfører deg merkelig og det er skremt meg ut,"{'bleu': 4.99, 'r1': 0.24, 'r2': 0.0, 'rl': 0.24, 'chrF': 20.8, 'chrf++': 18.34, 'meteor': 0.11, 'bert_f1': 0.72, 'length': 45.0, 'len_ratio': 1.36}","{'bleu': 3.39, 'r1': 0.19, 'r2': 0.0, 'rl': 0.19, 'chrF': 13.59, 'chrf++': 11.51, 'meteor': 0.11, 'bert_f1': 0.69, 'length': 58.0, 'len_ratio': 1.76}"
yeah don't even get me started on unsolved mysteries,Og ikke snakk om uløselige mysterier,Ikke en gang få meg til å begynne på uløste mysterier.,ja ikke engang få meg i gang på uløste mysterier,"{'bleu': 3.39, 'r1': 0.33, 'r2': 0.0, 'rl': 0.33, 'chrF': 36.01, 'chrf++': 28.78, 'meteor': 0.15, 'bert_f1': 0.77, 'length': 54.0, 'len_ratio': 1.5}","{'bleu': 4.99, 'r1': 0.33, 'r2': 0.0, 'rl': 0.33, 'chrF': 39.87, 'chrf++': 33.62, 'meteor': 0.16, 'bert_f1': 0.82, 'length': 48.0, 'len_ratio': 1.33}"
okay you wanted the truth here it is,"Greit, her er sannheten.","Ok, du ville ha sannheten her.",OK du ønsket sannheten her det er,"{'bleu': 7.81, 'r1': 0.4, 'r2': 0.0, 'rl': 0.2, 'chrF': 40.95, 'chrf++': 38.54, 'meteor': 0.32, 'bert_f1': 0.78, 'length': 30.0, 'len_ratio': 1.25}","{'bleu': 8.64, 'r1': 0.55, 'r2': 0.0, 'rl': 0.36, 'chrF': 40.93, 'chrf++': 36.76, 'meteor': 0.25, 'bert_f1': 0.7, 'length': 33.0, 'len_ratio': 1.38}"
oh Anu for most of my life I got so nervous around women that I couldn't talk to them without alcohol,Størsteparten av livet har jeg ikke greid å prate med damer uten alkohol,Jeg ble så nervøs for kvinner at jeg ikke kunne snakke med dem uten alkohol.,Jeg ble så nervøs rundt kvinner at jeg ikke kunne snakke med dem uten alkohol.,"{'bleu': 7.31, 'r1': 0.34, 'r2': 0.15, 'rl': 0.34, 'chrF': 34.02, 'chrf++': 32.12, 'meteor': 0.34, 'bert_f1': 0.72, 'length': 76.0, 'len_ratio': 1.06}","{'bleu': 7.31, 'r1': 0.34, 'r2': 0.15, 'rl': 0.34, 'chrF': 34.61, 'chrf++': 32.56, 'meteor': 0.34, 'bert_f1': 0.72, 'length': 78.0, 'len_ratio': 1.08}"
so you've been drunk every time we've seen each other?,Har du vært full når vi har møttes?,Har dere vært fulle hver gang vi har sett hverandre?,Så du har vært full hver gang vi har sett hverandre?,"{'bleu': 9.43, 'r1': 0.45, 'r2': 0.2, 'rl': 0.45, 'chrF': 37.33, 'chrf++': 36.21, 'meteor': 0.56, 'bert_f1': 0.86, 'length': 52.0, 'len_ratio': 1.49}","{'bleu': 10.6, 'r1': 0.61, 'r2': 0.29, 'rl': 0.52, 'chrF': 36.37, 'chrf++': 38.02, 'meteor': 0.62, 'bert_f1': 0.88, 'length': 52.0, 'len_ratio': 1.49}"
no no it hasn't happened in a long time and I really thought I was over it but I guess I don't know I guess I wanted so much for tonight to go well that I stressed myself out it came back,"Nei, det har ikke skjedd på lenge. Jeg trodde jeg hadde kommet over det. Jeg ville at dette skulle gå bra, så jeg gjorde meg selv stresset. Det kom tilbake.","Nei, det har ikke skjedd på lenge, og jeg trodde jeg var ferdig med det, men jeg vet vel ikke at jeg ønsket så mye for i kveld å gå bra at jeg stresset meg selv ut det kom tilbake","Nei nei det har ikke skjedd i lang tid og jeg virkelig trodde jeg var over det, men jeg antar jeg ikke vet jeg antar jeg ønsket så mye for i kveld for å gå bra at jeg stresset meg selv ut det kom tilbake","{'bleu': 22.25, 'r1': 0.67, 'r2': 0.36, 'rl': 0.61, 'chrF': 53.12, 'chrf++': 50.98, 'meteor': 0.55, 'bert_f1': 0.83, 'length': 179.0, 'len_ratio': 1.15}","{'bleu': 9.51, 'r1': 0.59, 'r2': 0.28, 'rl': 0.51, 'chrF': 46.08, 'chrf++': 43.84, 'meteor': 0.5, 'bert_f1': 0.79, 'length': 203.0, 'len_ratio': 1.3}"
so the doctor prescribed Nizoral and it blocked enzyme action and the fungus cleared right up,"Legemiddelet blokkerte enzymene, og da forsvant soppen.",Så legen forskrevet Nizoral og det blokkerte enzymet og soppen renset opp,så forskrevet legen Nizoral og det blokkerte enzymvirkningen og soppen renset rett opp,"{'bleu': 4.46, 'r1': 0.32, 'r2': 0.0, 'rl': 0.32, 'chrF': 47.58, 'chrf++': 39.59, 'meteor': 0.16, 'bert_f1': 0.75, 'length': 73.0, 'len_ratio': 1.33}","{'bleu': 4.07, 'r1': 0.3, 'r2': 0.0, 'rl': 0.3, 'chrF': 43.75, 'chrf++': 36.64, 'meteor': 0.16, 'bert_f1': 0.72, 'length': 86.0, 'len_ratio': 1.56}"
guys focus my mom thinks that Sheldon is the reason I don't spend a lot of time with her,Moren min tror at Sheldon er grunnen til at vi ikke sees så ofte.,Gutter fokuserer mamma tror at Sheldon er grunnen til at jeg ikke er sammen med henne.,gutter fokusere min mor tror at Sheldon er grunnen til at jeg ikke bruker mye tid med henne,"{'bleu': 37.08, 'r1': 0.53, 'r2': 0.43, 'rl': 0.53, 'chrF': 55.57, 'chrf++': 54.26, 'meteor': 0.54, 'bert_f1': 0.83, 'length': 86.0, 'len_ratio': 1.32}","{'bleu': 34.82, 'r1': 0.56, 'r2': 0.4, 'rl': 0.56, 'chrF': 55.56, 'chrf++': 54.07, 'meteor': 0.58, 'bert_f1': 0.81, 'length': 91.0, 'len_ratio': 1.4}"
and it's easier to say I can't spend time with her because of Sheldon then to admit that I just I don't want to,Det er lettere enn å erkjenne at jeg ikke vil omgås henne.,Det er lettere å si at jeg ikke kan være sammen med henne på grunn av Sheldon.,Og det er lettere å si at jeg ikke kan bruke tid med henne på grunn av Sheldon da for å innrømme at jeg bare ikke vil,"{'bleu': 14.88, 'r1': 0.48, 'r2': 0.3, 'rl': 0.48, 'chrF': 46.3, 'chrf++': 46.61, 'meteor': 0.61, 'bert_f1': 0.85, 'length': 78.0, 'len_ratio': 1.34}","{'bleu': 7.85, 'r1': 0.42, 'r2': 0.28, 'rl': 0.37, 'chrF': 45.74, 'chrf++': 44.02, 'meteor': 0.57, 'bert_f1': 0.8, 'length': 117.0, 'len_ratio': 2.02}"
Amy said she couldn't come to Thanksgiving dinner because you always have to spend it with your mother,Dere kom ikke på thanksgiving fordi du alltid må være med moren din.,Amy sa hun ikke kunne komme på thanksgiving middag fordi du alltid må tilbringe den med moren din.,Amy sa hun ikke kunne komme på Thanksgiving middag fordi du alltid må bruke den sammen med moren din,"{'bleu': 28.53, 'r1': 0.63, 'r2': 0.4, 'rl': 0.63, 'chrF': 66.59, 'chrf++': 65.37, 'meteor': 0.74, 'bert_f1': 0.87, 'length': 98.0, 'len_ratio': 1.44}","{'bleu': 19.52, 'r1': 0.61, 'r2': 0.39, 'rl': 0.61, 'chrF': 59.49, 'chrf++': 56.59, 'meteor': 0.67, 'bert_f1': 0.79, 'length': 100.0, 'len_ratio': 1.47}"
look at that we're both angry at Amy you know maybe that's something we can bond over. let me ask you this how do you feel about Howard?,Vi er sinte på Amy begge to. Kanskje det vil føre oss nærmere. Hva synes du om Howard?,Se på at vi begge er sinte på Amy du vet kanskje det er noe vi kan knytte sammen.,Se på at vi begge er sinte på Amy du vet kanskje det er noe vi kan binde over. la meg spørre deg hvordan føler du for Howard?,"{'bleu': 13.56, 'r1': 0.46, 'r2': 0.22, 'rl': 0.36, 'chrF': 35.55, 'chrf++': 33.37, 'meteor': 0.4, 'bert_f1': 0.76, 'length': 81.0, 'len_ratio': 0.94}","{'bleu': 10.5, 'r1': 0.44, 'r2': 0.17, 'rl': 0.4, 'chrF': 39.89, 'chrf++': 37.69, 'meteor': 0.47, 'bert_f1': 0.78, 'length': 125.0, 'len_ratio': 1.45}"
why would Amy feel the need to lie to me?,Hvorfor løy Amy til meg?,Hvorfor må Amy lyve for meg?,Hvorfor skulle Amy føle behovet for å lyve for meg?,"{'bleu': 15.62, 'r1': 0.5, 'r2': 0.0, 'rl': 0.5, 'chrF': 39.35, 'chrf++': 39.98, 'meteor': 0.52, 'bert_f1': 0.89, 'length': 28.0, 'len_ratio': 1.17}","{'bleu': 8.91, 'r1': 0.37, 'r2': 0.0, 'rl': 0.37, 'chrF': 34.85, 'chrf++': 35.4, 'meteor': 0.49, 'bert_f1': 0.8, 'length': 51.0, 'len_ratio': 2.12}"
really? Even after she threw you under the bus you're still gonna defend her,Forsvarer du henne selv om hun skyldte på deg?,"Selv etter at hun kastet deg under bussen, vil du forsvare henne.",Selv etter hun kastet deg under bussen du fortsatt kommer til å forsvare henne,"{'bleu': 4.02, 'r1': 0.48, 'r2': 0.0, 'rl': 0.29, 'chrF': 31.26, 'chrf++': 28.07, 'meteor': 0.29, 'bert_f1': 0.79, 'length': 65.0, 'len_ratio': 1.41}","{'bleu': 4.02, 'r1': 0.45, 'r2': 0.0, 'rl': 0.27, 'chrF': 30.78, 'chrf++': 27.75, 'meteor': 0.29, 'bert_f1': 0.76, 'length': 78.0, 'len_ratio': 1.7}"
am I safe to assume you talking to me now is a good sign for our marriage?,Er det et godt tegn for ekteskapet vårt at du prater med meg nå?,"Er det trygt å anta at du snakker til meg nå, er et godt tegn for vårt ekteskap?",Er jeg sikker på at du snakker med meg nå er et godt tegn for vårt ekteskap?,"{'bleu': 18.76, 'r1': 0.73, 'r2': 0.45, 'rl': 0.48, 'chrF': 50.99, 'chrf++': 52.63, 'meteor': 0.7, 'bert_f1': 0.86, 'length': 80.0, 'len_ratio': 1.25}","{'bleu': 23.29, 'r1': 0.73, 'r2': 0.45, 'rl': 0.42, 'chrF': 56.36, 'chrf++': 57.02, 'meteor': 0.74, 'bert_f1': 0.86, 'length': 76.0, 'len_ratio': 1.19}"
thank you Amy it's so nice of you to have us over for dinner,Så hyggelig å få komme på middag.,"Takk Amy, det er så hyggelig av deg å ha oss over til middag.","Tusen takk Amy, det er så fint av deg å ha oss over til middag.","{'bleu': 5.82, 'r1': 0.32, 'r2': 0.12, 'rl': 0.32, 'chrF': 40.98, 'chrf++': 37.41, 'meteor': 0.51, 'bert_f1': 0.8, 'length': 61.0, 'len_ratio': 1.85}","{'bleu': 5.06, 'r1': 0.2, 'r2': 0.0, 'rl': 0.2, 'chrF': 23.82, 'chrf++': 23.14, 'meteor': 0.35, 'bert_f1': 0.76, 'length': 63.0, 'len_ratio': 1.91}"
you realise we still have a lot of work to do before we can publish,Det er fremdeles mye som gjenstår.,Du innser at vi fortsatt har mye å gjøre før vi kan publisere,dere innser at vi fortsatt har mye arbeid å gjøre før vi kan publisere,"{'bleu': 3.09, 'r1': 0.19, 'r2': 0.0, 'rl': 0.19, 'chrF': 15.28, 'chrf++': 12.99, 'meteor': 0.07, 'bert_f1': 0.71, 'length': 61.0, 'len_ratio': 1.79}","{'bleu': 2.84, 'r1': 0.18, 'r2': 0.0, 'rl': 0.18, 'chrF': 16.03, 'chrf++': 13.51, 'meteor': 0.06, 'bert_f1': 0.69, 'length': 70.0, 'len_ratio': 2.06}"
absolutely not if the king of Sweden hands me a medal I intend to smear it with Purell and kiss it,"Nei, får jeg en medalje, kliner jeg på antibac og kysser den.",Absolutt ikke hvis Sveriges konge gir meg en medalje jeg har tenkt å smøre den med Purell og kysse den,absolutt ikke hvis Sveriges konge gir meg en medalje jeg har til hensikt å smøre den med Purell og kysse den,"{'bleu': 4.81, 'r1': 0.3, 'r2': 0.06, 'rl': 0.3, 'chrF': 32.74, 'chrf++': 29.34, 'meteor': 0.24, 'bert_f1': 0.73, 'length': 102.0, 'len_ratio': 1.67}","{'bleu': 4.57, 'r1': 0.29, 'r2': 0.06, 'rl': 0.29, 'chrF': 32.45, 'chrf++': 29.06, 'meteor': 0.24, 'bert_f1': 0.73, 'length': 108.0, 'len_ratio': 1.77}"
yes but he's always struck me as the guy in the plane crash who doesn't wait until you're all the way dead to eat you,Men han er typen til å spise en opp før man er død etter en flyulykke.,"Ja, men han har alltid slått meg som fyren i flyulykken som ikke venter til du er helt død for å spise deg","Ja, men han har alltid slått meg som fyren i flyet krasj som ikke venter til du er helt død for å spise deg","{'bleu': 4.14, 'r1': 0.34, 'r2': 0.1, 'rl': 0.29, 'chrF': 35.04, 'chrf++': 31.08, 'meteor': 0.32, 'bert_f1': 0.71, 'length': 106.0, 'len_ratio': 1.51}","{'bleu': 3.96, 'r1': 0.33, 'r2': 0.1, 'rl': 0.29, 'chrF': 27.56, 'chrf++': 25.42, 'meteor': 0.32, 'bert_f1': 0.68, 'length': 107.0, 'len_ratio': 1.53}"
you know we're almost finished with our paper we just need help tracking down the citations,"Vi er neste ferdig med artikkelen, men noen må sjekke sitatene.",Vi er nesten ferdige med avisen vår. Vi trenger hjelp med å finne referansene.,Du vet vi er nesten ferdig med vårt papir vi trenger bare hjelp med å spore opp citeringer,"{'bleu': 5.82, 'r1': 0.24, 'r2': 0.09, 'rl': 0.24, 'chrF': 34.86, 'chrf++': 30.81, 'meteor': 0.19, 'bert_f1': 0.78, 'length': 78.0, 'len_ratio': 1.24}","{'bleu': 4.75, 'r1': 0.28, 'r2': 0.15, 'rl': 0.28, 'chrF': 32.43, 'chrf++': 27.96, 'meteor': 0.15, 'bert_f1': 0.7, 'length': 90.0, 'len_ratio': 1.43}"
I am not gonna spend weeks in a library looking up old papers can't we hire a grad-student to do it?,Kan vi ikke betale en doktorand for å sjekke sitatene?,Jeg skal ikke tilbringe uker i et bibliotek for å lete etter gamle papirer. Kan vi ikke ansette en student for å gjøre det?,Jeg skal ikke tilbringe uker i et bibliotek som leter opp gamle papirer kan vi ikke ansette en student for å gjøre det?,"{'bleu': 7.36, 'r1': 0.31, 'r2': 0.13, 'rl': 0.31, 'chrF': 28.87, 'chrf++': 30.8, 'meteor': 0.51, 'bert_f1': 0.8, 'length': 123.0, 'len_ratio': 2.28}","{'bleu': 4.92, 'r1': 0.31, 'r2': 0.13, 'rl': 0.31, 'chrF': 26.99, 'chrf++': 27.74, 'meteor': 0.52, 'bert_f1': 0.77, 'length': 119.0, 'len_ratio': 2.2}"
well what if we ask one of our friends to help us out how about Leonard?,Vi kan be Leonard om hjelp.,Hva om vi ber en av vennene våre hjelpe oss med Leonard?,"Hva om vi spør en av vennene våre om å hjelpe oss, hva med Leonard?","{'bleu': 3.67, 'r1': 0.32, 'r2': 0.0, 'rl': 0.21, 'chrF': 33.88, 'chrf++': 28.47, 'meteor': 0.26, 'bert_f1': 0.69, 'length': 56.0, 'len_ratio': 2.07}","{'bleu': 2.72, 'r1': 0.27, 'r2': 0.0, 'rl': 0.18, 'chrF': 30.64, 'chrf++': 25.76, 'meteor': 0.25, 'bert_f1': 0.69, 'length': 67.0, 'len_ratio': 2.48}"
Fortnite a bunch of people parachute onto an island and fight it out to be the last man standing,Fortnite. Masse folk kjemper til bare én er igjen på en øy.,Fortnite en haug av folk fallskjerm på en øy og slåss til å være den siste mann stående,Fortnite en haug med mennesker fallskjerm på en øy og kjempe det ut til å være den siste mannen som står,"{'bleu': 9.51, 'r1': 0.37, 'r2': 0.13, 'rl': 0.31, 'chrF': 31.97, 'chrf++': 30.87, 'meteor': 0.35, 'bert_f1': 0.75, 'length': 87.0, 'len_ratio': 1.47}","{'bleu': 7.68, 'r1': 0.29, 'r2': 0.12, 'rl': 0.24, 'chrF': 33.15, 'chrf++': 30.68, 'meteor': 0.3, 'bert_f1': 0.73, 'length': 104.0, 'len_ratio': 1.76}"
more like Bachelor in Paradise but not as cut throat,"Nei, som Ungkaren, bare snillere.","Mer som bachelor i Paradise, men ikke som kuttet strupe.","mer som bachelor i Paradise, men ikke som kuttet hals","{'bleu': 4.46, 'r1': 0.13, 'r2': 0.0, 'rl': 0.13, 'chrF': 16.54, 'chrf++': 16.67, 'meteor': 0.18, 'bert_f1': 0.72, 'length': 56.0, 'len_ratio': 1.7}","{'bleu': 4.46, 'r1': 0.13, 'r2': 0.0, 'rl': 0.13, 'chrF': 16.32, 'chrf++': 15.15, 'meteor': 0.12, 'bert_f1': 0.66, 'length': 53.0, 'len_ratio': 1.61}"
and depending on what you wanna build you can use LB RB LT or RT,"Og avhengig av hva man vil bygge, kan man bruke ulike taster.","Og avhengig av hva du vil bygge, kan du bruke LB RB LT eller RT.","Og avhengig av hva du vil bygge, kan du bruke LB RB LT eller RT.","{'bleu': 30.28, 'r1': 0.59, 'r2': 0.4, 'rl': 0.59, 'chrF': 53.6, 'chrf++': 54.34, 'meteor': 0.68, 'bert_f1': 0.86, 'length': 64.0, 'len_ratio': 1.05}","{'bleu': 30.28, 'r1': 0.59, 'r2': 0.4, 'rl': 0.59, 'chrF': 53.6, 'chrf++': 54.34, 'meteor': 0.68, 'bert_f1': 0.86, 'length': 64.0, 'len_ratio': 1.05}"
in a minute I wanna show Howard I can play this game,Jeg vil vise at jeg klarer det.,Jeg vil vise Howard at jeg kan spille.,På et øyeblikk vil jeg vise Howard jeg kan spille dette spillet,"{'bleu': 23.36, 'r1': 0.67, 'r2': 0.46, 'rl': 0.67, 'chrF': 50.75, 'chrf++': 52.44, 'meteor': 0.69, 'bert_f1': 0.88, 'length': 38.0, 'len_ratio': 1.23}","{'bleu': 4.46, 'r1': 0.42, 'r2': 0.0, 'rl': 0.32, 'chrF': 26.52, 'chrf++': 24.25, 'meteor': 0.24, 'bert_f1': 0.74, 'length': 63.0, 'len_ratio': 2.03}"
