en|no
more like Bachelor in Paradise but not as cut throat|Nei, som Ungkaren, bare snillere.
and depending on what you wanna build you can use LB RB LT or RT|Og avhengig av hva man vil bygge, kan man bruke ulike taster.
in a minute I wanna show Howard I can play this game|Jeg vil vise at jeg klarer det.
why not? You don't think other women find him attractive?|Kan ikke andre kvinner like han?
you know what sure the three of us in the library looking up old papers that actually could be kinda fun|Ja vel. Det blir gøy å lete gjennom gamle artikler med dere to.
I don't know if you'd like it it's kinda for gamers|Det er mest for gamers.
okay this citation is correct how're you doing?|Dette stemmer. Hvordan går det?
no it actually makes it more exciting we have to go through all of this before I run out of this|Nei, dette gjør det mer spennende. Vi må blir ferdig før denne er tom.
really video games? Is this some sort of freaky Friday thing where you're actually Howard?|Spiller du? Er det som i Freaky Friday, og du egentlig er Howard?
oh gosh my Russian's a little rusty|Jeg er litt rusten.
wait so Amy and Sheldon weren't the first to think of super asymmetry?|Så de var ikke først ute med superasymmetri?
okay okay how about this we all tell him?|Vi sier det sammen.
I was hoping Stuart could show me how to play Fortnite|Jeg vil lære å spille Fortnite.
I didn't hear a podcast|Jeg hørte ingenting.
actually I need to talk to both of you about your paper|Jeg må faktisk prate med dere.
hey do you wanna play the game or do you wanna crawl back up your mommy's shirt and chow down like a baby?|Vil du spille eller krype tilbake til mamma og sutte på puppen?
I don't understand how you're not more upset by this is your paper too|Hvorfor er du ikke mer lei deg?
well I don't need you to pretend to be okay for me if anything that makes it worse|Ikke lat som du har det bra. Det gjør det bare verre.
fine. I'm not okay. We came up with this idea at our wedding we poured months of our lives into it I thought we were changing the course of science and now it's all gone I'm devastated|Ja vel. Jeg syns ikke at det er noe greit. Vi fant på dette i bryllupet vårt. Vi jobbet med det i flere måneder. Jeg trodde vi revolusjonerte vitenskapen. Jeg er knust.
would you mind if I gave it another shot?|Får jeg prøve igjen?
son of a bitch|Helvete!
no I tried callin' but no one picked up|Nei, og de tar ikke telefonen.
I also texted to see if he wanted to go to the new Fantastic Beasts movie and they did respond|Han svarte ikke da jeg spurte om han ville se Fabeldyr 2.
I appreciate what you're trying to do but please stop you can't make this better|Takk, men dere kan ikke trøste oss.
let's just try to avoid anything that makes them think about their project or science or Nobel prices or successes or failures|vi må unngå alt som kan minne om prosjektet deres, vitenskap, -priser eller nederlag.
you can't have chicken fried steak first ting in the morning|Du kan ikke spise det til frokost!
it's a pep talk he made when he when he was a kid gave it to me years ago and told me to save it for a real emergency|Det er en motivasjonstale han spilte inn som gutt, - i tilfelle det skulle oppstå en nødsituasjon.
I tought so too I also thought superasymmerty was a good idea so what else am I wrong about|Jeg mente også at superasymmetri var en god idé. Jeg kan ha tatt feil om så mye.
I am following the example of seventeenth century philosopher René Descartes. he subjected all his believes to radical doubt so he could build a bed rock belief and build his cognitive life back up on firm principles|Jeg følger filosof René Descartes' eksempel. Han betvilte enhver formening, for å basere seg kun på det ubestridelige.
oh so yucky so yucky|Æsj! Altfor ekkelt!
I didn't know you auditioned there|Gjennomførte du opptaksprøven?
it's fine I don't need to be a member of the most elite magical society on the face of the earth|Jeg har intet behov for medlemskap i slik en eksklusiv trylleforening.
you know what you should audition now|Du bør gjennomføre opptaksprøven.
look I know you still want this and I can help you all those pageants I did as a child I can teach you how to present yourself connect with the judges sabotage the competition|Jeg kan hjelpe. Missekåringene fra barndommen- -lærte meg sceneutstråling og sabotasje av konkurrenter.
oh we don't have to show it to them|De trenger ikke å se opptaket.
like they did with that movie that was not great|Det fungerte dårlig i filmen.
look this might seem strange but uh we thought it might help you get some closure if you had a chance to properly say goodbye to your paper|Dette kan lyde rart, men vi tenkte du kanskje burde ta farvel med teorien.
wait why why did you just say you're too busy but then|Men du sa jo…
I don't think so|Nei!
It's kinda beautiful isn't it?|Det er jo vakkert.
looks like we both had theories that were wrong|Vi fremmet visst begge feilaktige teorier.
look I get that you're scared but we just have to push past that|Du må overvinne frykten!
Howard and I have been working really hard on his audition so it would be helpful to get another set of eyes on it|Bedøm gjerne Howards opptaksopptreden.
I'm the great Howdini and it's an honor to be auditioning at the Magical Castle|Hei! Jeg er den store Howdini! Det er en ære å være her!
I'm not gonna audition|Jeg gir opp.
hey this isn't about me I just wanted you to have your dream and I wanted to control everything about how you looked and acted so your victory was mine|Jeg ville bare virkeliggjøre din drøm, - og kontrollere alt, så din seier ville bli min seier.
would you be amazed if your watch survived that pounding I think you would BEHOLD|Det ville nok forbause deg om uret ditt overlede det! Ta i øyesyn!
